trial,num_qubits,energy,feasible,SubH1,SubH2,SubH3,SubH4,SubH5,A,B,C,E
0,540,1440.2485405158495,False,691.5194503788903,0.0,0.0,426.0,322.729090136957,691.5194503788923,243.3163156559748,215.65916085106716,16.136454506847848
1,540,1431.9502971182592,False,-4.547473508864641e-13,0.0,574.4089148143935,496.0,361.5413823038676,1279.9758081188036,190.88889079239624,191.4696382714645,16.433699195630346
2,540,1316.3581044100538,False,-2.2737367544323206e-12,0.0,611.01777148104,496.0,209.3403329290229,1458.1393536837052,281.3898952113142,203.67259049368,11.017912259422257
3,540,1234.0049925825333,False,3.637978807091713e-12,0.0,205.53761321855924,496.0,532.4673793639749,1183.4629351721364,256.90530404743504,205.53761321855924,12.101531349181249
4,540,1692.118478219818,False,3.410605131648481e-12,304.1305348772047,265.9239932418561,496.0,626.0639501007533,1003.0831653078097,152.06526743860235,265.9239932418561,17.887541431450096
5,540,1135.4205366839742,False,2.0463630789890885e-12,0.0,483.9215587393395,496.0,155.49897794463973,864.8859839013724,242.30942676502406,161.3071862464465,8.63883210803554
6,540,1375.3952818283979,False,1.8189894035458565e-12,247.7067214839866,0.0,496.0,631.6885603444034,1433.1401019825216,247.7067214839866,209.58038665892315,16.19714257293342
7,540,1686.136595524369,False,816.8361221688715,0.0,0.0,426.0,443.30047335550034,816.8361221688713,235.21479789391037,280.3691084341839,9.851121630122229
8,540,1658.7400731855269,False,0.0,343.13004735436937,511.2782913355006,496.0,308.3317344956584,1302.1476420801591,171.56502367718468,255.6391456677503,14.682463547412306
9,540,1754.3758303873765,False,718.7921056740865,0.0,432.64222662125303,456.0,146.94149809203606,718.7921056740886,288.7301442923348,216.32111331062652,18.367687261504507
10,540,1348.5948845816583,False,550.8758643355516,0.0,0.0,426.0,371.7190202461078,550.8758643355497,218.03595454194414,174.01322267488376,17.700905726005132
11,540,1386.0286247043223,False,-1.3642420526593924e-12,165.1647816324974,187.20850772565763,496.0,537.6553353461671,1194.5461682327962,165.1647816324974,187.20850772565763,14.531225279626138
12,540,1017.747821425477,False,-9.094947017729282e-13,0.0,167.31886801245273,496.0,354.4289534130326,1172.024427705709,203.51781144712157,167.31886801245273,19.690497411835143
13,540,1651.6509720115992,False,748.318390594441,0.0,0.0,456.0,447.33258141715663,748.3183905944412,240.1046838776553,242.7201037633154,15.425261428177814
14,540,1418.639813823267,False,-2.0463630789890885e-12,0.0,207.33814814721796,496.0,715.3016656760504,868.256296470099,206.34336907285194,207.33814814721796,13.496257842944347
15,540,1285.8701198119852,False,1.8189894035458565e-12,206.63031160905268,188.31272512451503,496.0,394.9270830784086,1447.3383111551238,206.63031160905268,188.31272512451503,8.227647564133513
16,540,1551.6531059817735,False,733.7188089277302,0.0,0.0,426.0,391.93429705404264,733.7188089277331,296.04892237532056,214.55703024486436,8.339027596894525
17,540,1079.987253482257,False,1.5916157281026244e-12,0.0,325.30700834476863,496.0,258.6802451374856,906.5758814831337,151.06612403200725,162.65350417238432,5.503835002925225
18,540,1243.8936025352887,False,528.6856106611581,0.0,0.0,456.0,259.2079918741267,528.6856106611581,203.94510305220481,297.13584738911015,18.514856562437622
19,540,1086.7519572836554,False,501.83694489897783,0.0,0.0,426.0,158.9150123846783,501.8369448989802,171.8114622822473,283.0141635783509,5.675536156595654
20,540,1354.3477371596564,False,-1.3642420526593924e-12,0.0,430.8862806149934,496.0,427.46145654466443,1390.54648084638,190.91271826023532,215.4431403074967,18.585280719333234
21,540,1264.4885354001926,False,4.092726157978177e-12,0.0,410.33633950508374,496.0,358.1521958951049,1470.453298658675,278.3701582932673,205.16816975254187,11.553296641777578
22,540,1060.505188762556,False,-1.3642420526593924e-12,0.0,322.17675625301547,496.0,242.32843250953425,1248.0903395303665,292.6014966346685,161.08837812650773,10.536018804762358
23,540,917.0836433828845,False,-4.092726157978177e-12,0.0,0.0,496.0,421.08364338287794,1468.9547884108265,295.51934617244535,249.9221096318326,7.3874323400504895
24,540,1061.390238263748,False,-1.1368683772161603e-12,0.0,300.70991038127687,496.0,264.6803278824747,814.613161976045,167.1338809347609,150.35495519063844,13.930543572761827
25,540,1400.029887601364,False,549.5147193435264,0.0,0.0,426.0,424.51516825783506,549.5147193435264,226.9670980727677,222.83580299490453,9.648072005859888
26,540,1438.6155544333706,False,1.3642420526593924e-12,285.655022874083,278.7787571979556,496.0,378.1817743613354,1162.0652227762541,285.655022874083,278.7787571979556,14.006732383753162
27,540,1227.6128413307451,False,-1.1368683772161603e-12,269.4624170761263,159.86144486726326,496.0,302.2889793873592,720.9991908264543,269.4624170761263,159.86144486726326,15.114448969367956
28,540,1434.463974353639,False,4.547473508864641e-13,0.0,190.0308600677292,496.0,748.433114285902,1371.8272950951448,294.64108818498886,190.0308600677292,17.81983605442624
29,540,1205.4990215477628,False,-1.3642420526593924e-12,0.0,226.359772819763,496.0,483.1392487279962,1109.7000827519848,252.6445770259414,226.359772819763,13.057817533189086
30,540,1032.65663803188,False,-3.637978807091713e-12,192.16713037273965,0.0,496.0,344.48950765913526,1276.950765489973,192.16713037273965,288.5717083518096,8.011383899049658
31,540,1264.2584666967014,False,1.3642420526593924e-12,230.50897277149588,199.9845253998234,496.0,337.7649685253843,1144.3494980526941,230.50897277149588,199.9845253998234,9.38236023681623
32,540,1288.21412423125,False,4.547473508864641e-13,285.8754821704204,215.45077245271088,496.0,290.8878696081154,1241.3946140030941,285.8754821704204,215.45077245271088,12.120327900338143
33,540,1009.151657516486,False,3.637978807091713e-12,0.0,163.6792965584275,496.0,349.4723609580586,1189.221183275406,231.6862994748313,163.6792965584275,13.44124465223302
34,540,1743.6421283563486,False,710.7664851419903,0.0,409.61930781960876,426.0,197.25633539475464,710.7664851419896,239.96062319083762,204.80965390980438,15.173564261134972
35,540,1472.08268144857,False,-3.637978807091713e-12,0.0,727.5489964112273,496.0,248.5336850373474,1356.5177799139597,193.01873563262174,181.88724910280683,16.56891233582316
36,540,1410.4180638113994,False,573.1024323979742,0.0,0.0,426.0,411.3156314134222,573.1024323979749,150.68279042399263,249.97723518757942,13.268246174626523
37,540,1641.9663430619785,False,-9.094947017729282e-13,0.0,415.42718101038685,496.0,730.5391620515948,791.766009615963,246.96161889716436,207.71359050519342,19.22471479083144
38,540,1177.2645406461015,False,-4.092726157978177e-12,0.0,248.01617563423076,496.0,433.2483650118646,1478.8274276600873,222.81416325705214,248.01617563423076,10.831209125296615
39,540,1289.8853790131761,False,-4.547473508864641e-13,0.0,455.10035105258623,496.0,338.78502796059024,1112.7772558478803,263.3905558479327,227.55017552629312,6.642843685501769
40,540,1398.2868901381116,False,584.7063831697889,0.0,0.0,426.0,387.5805069683204,584.7063831697895,221.05182818255622,223.170614586346,17.617295771287292
41,540,1812.3754889281245,False,-9.094947017729282e-13,162.35498037172155,544.4155312214695,496.0,609.6049773349264,1001.1945224505371,162.35498037172155,272.2077656107347,16.475810198241255
42,540,1813.9185217217128,False,738.3241564935553,0.0,537.3514433972681,426.0,112.24292183088896,738.324156493556,160.6387201765439,268.67572169863405,18.707153638481493
43,540,1707.173375965769,False,-1.3642420526593924e-12,0.0,255.89715434491188,496.0,955.2762216208522,1137.9325321870435,179.06240791529595,255.89715434491188,19.495433094303106
44,540,910.324342898024,False,2.2737367544323206e-12,0.0,181.96878067789248,496.0,232.35556222012676,1382.729682619968,271.3694376998402,181.96878067789248,8.012260766211266
45,540,1610.654629737328,False,3.183231456205249e-12,160.78645373394653,288.37504208712943,496.0,665.4931339162567,1172.558388793341,160.78645373394653,288.37504208712943,15.47658450968039
46,540,1253.5652193142414,False,1.3642420526593924e-12,0.0,390.9425944052665,496.0,366.6226249089734,1029.286981370666,257.3850175249608,195.47129720263325,11.109776512393134
47,540,1464.931105608397,False,1.1368683772161603e-12,0.0,694.6600011161383,496.0,274.27110449225717,871.2525389400037,150.88673834865904,231.55333370537943,17.141944030766073
48,540,1190.152443349787,False,-2.2737367544323206e-13,0.0,225.04486889033237,496.0,469.1075744594505,981.7478004972133,152.0418917725345,225.04486889033237,9.021299508835586
49,540,1396.186006987471,False,1.3642420526593924e-12,0.0,581.0115319824431,496.0,319.17447500502647,1453.8619286548349,243.3642603906042,193.67051066081436,13.29893645854277
50,540,1247.0525792660446,False,1.8189894035458565e-12,336.2088058020222,0.0,496.0,414.84377346401357,1389.6435562401975,168.1044029010111,209.31407151616207,11.852679241828957
51,540,1124.5300715262965,False,0.0,0.0,180.83248245272108,496.0,447.6975890735757,838.9805459074469,256.09950747578455,180.83248245272108,8.447124322142937
52,540,1245.743995012419,False,-9.094947017729282e-13,0.0,362.93148097781994,496.0,386.8125140346026,777.9704535095129,211.71498364400884,181.46574048890997,9.918269590630835
53,540,1013.5026000715698,False,2.9558577807620168e-12,0.0,338.73916043368683,496.0,178.76343963788705,728.0674723531167,243.36404950393356,169.36958021684342,2.930548190785034
54,540,1514.6992138819642,False,614.6250330913608,0.0,295.69831670303495,426.0,178.37586408756783,614.6250330913608,288.75795871632585,295.69831670303495,3.567517281751357
55,540,1147.9231819141514,False,1.5916157281026244e-12,0.0,458.25417454797355,496.0,193.66900736618126,857.0180520995558,232.924830558163,152.75139151599117,11.392294550951839
56,540,884.7200423635222,False,-1.3642420526593924e-12,0.0,155.12598548228553,496.0,233.59405688123522,1029.6199684184792,237.24100160991082,155.12598548228553,6.313352888682033
57,540,1417.4695321491345,False,572.9255428183744,0.0,229.57288464677143,456.0,158.97110468398898,572.9255428183726,286.99720134415884,229.57288464677143,15.897110468398898
58,540,1400.2693761092632,False,0.0,0.0,488.88030549177034,496.0,415.3890706174912,1248.05165222699,249.5035054033055,244.44015274588517,19.78043193416625
59,540,1318.4614476518145,False,3.637978807091713e-12,0.0,617.3699821324561,496.0,205.0914655193621,1364.8095795800423,283.218806240936,205.78999404415205,12.81821659496013
60,540,1391.6514162578642,False,-4.092726157978177e-12,0.0,439.4893813880902,496.0,456.16203486976855,1426.1069585446871,258.283485366461,219.7446906940451,10.367318974312921
61,540,1605.8965786297704,False,0.0,0.0,391.4684742431979,496.0,718.4281043865631,1387.6931243725066,247.57075055707588,195.73423712159894,17.10543105682293
62,540,1250.4883514103603,False,-3.637978807091713e-12,0.0,371.81109959303126,496.0,382.67725181732834,1178.003930125376,192.91637822367792,185.90554979651563,14.71835583912801
63,540,1408.0855277289374,False,9.094947017729282e-13,0.0,438.7840232361548,496.0,473.3015044927737,1310.098819736032,247.50011263107345,219.3920116180774,15.77671681642579
64,540,1500.6355541379253,False,2.2737367544323206e-13,0.0,715.2628695436963,496.0,289.37268459422825,823.1854454803196,232.96595966097402,238.42095651456543,12.58142106931427
65,540,1567.8699594254576,False,4.547473508864641e-13,163.5267061109152,388.0013772100875,496.0,520.3418761044509,1149.0766106770504,163.5267061109152,194.00068860504376,19.271921337201885
66,540,1880.4194625658074,False,2.2737367544323206e-13,0.0,998.8568231590458,496.0,385.5626394067542,941.6405323127864,160.67248654179744,249.71420578976145,19.27813197033771
67,540,1303.1120451304087,False,2.2737367544323206e-12,0.0,224.16042258165209,496.0,582.9516225487508,1396.4170687889316,278.29573619411394,224.16042258165209,15.755449258074348
68,540,613.5126046484074,False,-3.637978807091713e-12,0.0,0.0,496.0,117.51260464840402,1300.4839251667559,153.62097598764163,240.54771057365352,2.136592811789164
69,540,1277.962532861282,False,0.0,0.0,697.5357091054487,496.0,84.42682375582837,1091.4489218825274,284.708602056848,174.3839272763622,16.88536475116567
70,540,1714.0114447964443,False,840.5539766162979,0.0,0.0,426.0,447.45746818014146,840.553976616299,203.52526501230122,288.48167508909626,11.186436704503537
71,540,1110.1375583689423,False,-6.821210263296962e-13,0.0,287.41264520969565,496.0,326.7249131592515,909.5511600507664,255.73886679832543,287.41264520969565,6.667855370596971
72,540,1082.979646100579,False,-4.547473508864641e-13,0.0,0.0,496.0,586.979646100582,622.3898389180808,253.76679419049987,191.2098522636004,16.7708470314452
73,540,1650.1411850012373,False,-2.9558577807620168e-12,0.0,842.3346474243234,496.0,311.80653757691465,985.01877702463,237.4270585624214,280.7782158081078,12.991939065704779
74,540,1636.1057911069674,False,753.7137549003569,0.0,269.7208948580994,426.0,186.67114134850584,753.7137549003589,253.8017766227087,269.7208948580994,12.444742756567056
75,540,1561.7115424565964,False,1.3642420526593924e-12,211.7397676586106,425.4611741381448,496.0,428.51060065983984,1122.3544418869171,211.7397676586106,212.7305870690724,19.477754575447264
76,540,1320.567863954453,False,3.410605131648481e-12,0.0,537.141159206631,496.0,287.4267047478162,928.4775415673797,204.99190232931386,268.5705796033155,6.684341970879445
77,540,1195.642526902615,True,0.0,0.0,0.0,496.0,699.6425269026079,1057.4648349409517,151.9336136410278,288.040472642878,18.909257483854265
78,540,1951.973745010322,False,866.545222382687,0.0,294.70493148184033,426.0,364.72359114579456,866.5452223826868,157.3528390086154,294.70493148184033,18.236179557289727
79,540,1759.0266764906446,False,0.0,160.3809461954791,291.24888299738683,496.0,811.3968472977672,1333.4167059281554,160.3809461954791,291.24888299738683,18.86969412320389
80,540,1894.1980584402154,False,0.0,155.39019198089915,283.525876696221,496.0,959.2819897630932,1103.7873918753558,155.39019198089915,283.525876696221,19.577183464552924
81,540,1232.4704243014457,False,676.2296997421606,0.0,0.0,426.0,130.2407245592823,676.2296997421624,161.75282764956825,247.0948902400677,2.604814491185646
82,540,1572.421599988029,False,-3.637978807091713e-12,184.58291928594835,599.0887699302353,496.0,292.74991077184393,1063.100196984587,184.58291928594835,299.5443849651177,16.26388393176911
83,540,1858.4612897545194,False,-3.637978807091713e-12,154.12379903029122,814.6640964667115,496.0,393.67339425751777,1093.0314656368914,154.12379903029122,271.5546988222372,16.40305809406324
84,540,1047.954476626015,False,-1.3642420526593924e-12,0.0,285.4319921192879,496.0,266.5224845067196,1269.0006853831271,246.56972472440046,285.4319921192879,6.5005484026029166
85,540,1983.367945934864,False,0.0,171.22794479153896,879.4101628007149,496.0,436.72983834260816,1068.515515777066,171.22794479153896,293.13672093357167,19.851356288300373
86,540,1119.8533075991872,False,-3.637978807091713e-12,0.0,304.1807278721125,496.0,319.67257972707984,1218.8126775628402,152.77595808608936,152.09036393605626,9.133502277916564
87,540,1946.0695115428243,False,704.6526173788849,0.0,276.3137557682882,426.0,539.103138395654,704.6526173788837,288.27874742885695,276.3137557682882,19.2536835141305
88,540,940.9017325475434,False,-4.092726157978177e-12,0.0,317.96042476022285,496.0,126.94130778732587,1393.1001041260274,151.09386906199484,158.98021238011142,2.8850297224392243
89,540,918.7403318000142,False,0.0,0.0,191.4713085646865,496.0,231.26902323532738,1229.7736830544054,204.7252440060241,191.4713085646865,3.125257070747667
90,540,1386.3468277713728,False,1.3642420526593924e-12,156.96431383726667,0.0,496.0,733.3825139341069,1041.943889676015,156.96431383726667,294.9858794017973,15.603883275193763
91,540,1768.4899303287148,False,-2.9558577807620168e-12,0.0,894.1436446264128,496.0,378.3462857023027,990.6615888516096,152.2386865687801,298.0478815421376,18.917314285115133
92,540,1462.707931540339,False,0.0,215.36818408448985,0.0,496.0,751.3397474558504,1488.4599219863376,215.36818408448985,270.8617334078997,18.325359694045133
93,540,1103.607242250735,False,0.0,0.0,407.81992177514246,496.0,199.78732047559225,790.410675957015,284.5582938804075,203.90996088757123,3.0736510842398808
94,540,1501.229919363992,False,0.0,158.85200745336698,544.7228114935972,496.0,301.65510041702436,1204.9207596207507,158.85200745336698,272.3614057467986,17.74441767158967
95,540,1501.5992651953493,False,-3.637978807091713e-12,153.5735989436678,261.2885856976886,496.0,590.7370805539932,1113.7786264035399,153.5735989436678,261.2885856976886,19.69123601846644
96,540,1067.7919673922152,False,6.821210263296962e-13,0.0,306.35876867816853,496.0,265.4331987140487,590.4617466658611,172.894808934873,153.17938433908427,9.83085921163143
97,540,988.5670065573104,False,3.183231456205249e-12,0.0,301.8104335251579,496.0,190.75657303214695,890.6621580183132,287.8926077334118,150.90521676257896,5.780502213095362
98,540,680.1899687150526,False,-9.094947017729282e-13,0.0,0.0,496.0,184.18996871505652,737.8422982601364,253.3499314626998,259.3767013074601,2.117126077184558
99,540,822.9768655917505,False,2.0463630789890885e-12,0.0,225.17784943246292,496.0,101.7990161592865,1021.3649457710101,222.56578679910749,225.17784943246292,2.5449754039821624
